,Nome,Categoria,Preço,Unidades Vendidas,Total,Filial,Forma de Pagamento,Método de Entrega,Data
0,Vestido,Roupas,120.05,29,3481.45,SP,Boleto,Sedex,2013-05-05
0,Cebola,Alimentos,11.25,29,326.25,RJ,Boleto,PAC,2011-05-14
0,Shampoo,Cosméticos,36.95,29,1071.55,MG,Pix,Sedex,2020-08-10
0,Tomate,Alimentos,9.15,16,146.4,SP,Pix,Retirada,2017-07-23
0,Máquina de lavar roupa,Eletrodomésticos,873.94,48,41949.12,RJ,Boleto,PAC,2020-07-10
0,Camiseta,Roupas,60.59,29,1757.11,PR,Crédito,Retirada,2020-04-03
0,Desodorante,Cosméticos,35.63,50,1781.5,MG,Boleto,Sedex,2020-07-15
0,Perfume,Cosméticos,39.31,9,353.79,MS,Débito,Retirada,2019-07-23
0,Boné,Roupas,85.04,42,3571.68,ES,Pix,Sedex,2011-09-16
0,Pregos,Ferramentas Manuais,11.75,5,58.75,SP,Débito,Retirada,2018-12-13
0,Blush,Cosméticos,21.67,15,325.05,SP,Boleto,PAC,2021-02-09
0,Ovo,Alimentos,10.22,11,112.42,ES,Débito,Retirada,2019-06-30
0,Iluminador,Cosméticos,34.76,33,1147.08,MG,Débito,Retirada,2021-10-15
0,Camiseta,Roupas,107.47,24,2579.28,MS,Crédito,Sedex,2018-11-28
0,Geleia,Alimentos,2.75,22,60.5,ES,Crédito,PAC,2014-05-19
0,Torradeira,Eletrodomésticos,2383.54,11,26218.94,MS,Pix,Sedex,2022-04-18
0,Torradeira,Eletrodomésticos,1520.91,32,48669.12,MG,Pix,PAC,2013-03-26
0,Alho,Alimentos,1.32,31,40.92,MS,Pix,Retirada,2019-09-26
0,Perfume,Cosméticos,36.19,41,1483.79,MS,Boleto,Retirada,2016-10-11
0,Tomate,Alimentos,5.75,10,57.5,MS,Pix,Sedex,2020-07-21
0,Corretivo,Cosméticos,20.08,21,421.68,PR,Boleto,PAC,2016-11-01
0,Gorro,Roupas,131.71,8,1053.68,RJ,Crédito,Sedex,2010-02-13
0,Chapéu,Roupas,245.14,2,490.28,MS,Crédito,Retirada,2020-08-02
0,Corretivo,Cosméticos,55.05,7,385.35,MG,Débito,PAC,2021-05-04
0,Cebola,Alimentos,1.71,10,17.1,MS,Crédito,Sedex,2013-01-05
0,Alho,Alimentos,6.9,30,207.0,PR,Pix,Sedex,2014-02-03
0,Uva,Alimentos,7.87,31,243.97,RJ,Boleto,Sedex,2014-03-25
0,Cebola,Alimentos,8.9,28,249.2,MS,Pix,PAC,2019-11-15
0,Formão,Ferramentas Manuais,48.96,33,1615.68,ES,Crédito,PAC,2012-06-26
0,Martelo,Ferramentas Manuais,26.68,45,1200.6,SP,Boleto,PAC,2015-06-14
0,Base,Cosméticos,68.66,12,823.92,PR,Boleto,Sedex,2011-01-12
0,Shampoo,Cosméticos,66.16,8,529.28,ES,Crédito,PAC,2021-10-07
0,Corretivo,Cosméticos,71.03,13,923.39,MS,Pix,Retirada,2010-03-23
0,Formão,Ferramentas Manuais,19.82,44,872.08,MG,Pix,Retirada,2022-08-06
0,Ovo,Alimentos,7.64,10,76.4,PR,Boleto,Retirada,2010-02-12
0,Esmalte,Cosméticos,34.25,2,68.5,SP,Boleto,PAC,2012-12-07
0,Enxada,Ferramentas Manuais,32.51,39,1267.89,ES,Débito,PAC,2019-09-30
0,Máquina de lavar roupa,Eletrodomésticos,1782.8,28,49918.4,PR,Débito,PAC,2012-01-24
0,Grampo,Ferramentas Manuais,30.57,3,91.71,RJ,Boleto,PAC,2012-01-09
0,Jeans,Roupas,190.17,5,950.85,MS,Boleto,Sedex,2021-06-01
0,Bermuda,Roupas,148.79,26,3868.54,ES,Débito,Retirada,2014-02-21
0,Blush,Cosméticos,51.41,20,1028.2,RJ,Pix,PAC,2010-09-17
0,Camiseta,Roupas,191.73,15,2875.95,SP,Crédito,PAC,2014-03-11
0,Geleia,Alimentos,5.29,21,111.09,PR,Boleto,PAC,2013-10-25
0,Chave estrela,Ferramentas Manuais,29.29,6,175.74,MS,Boleto,Sedex,2017-06-13
0,Nível,Ferramentas Manuais,48.0,13,624.0,MS,Boleto,Retirada,2013-02-14
0,Alho,Alimentos,10.03,21,210.63,RJ,Pix,Retirada,2020-03-05
0,Base,Cosméticos,43.32,38,1646.16,MS,Pix,Retirada,2014-04-22
0,Desodorante,Cosméticos,37.88,19,719.72,MG,Crédito,Retirada,2016-08-05
0,Pregos,Ferramentas Manuais,21.0,46,966.0,SP,Débito,Sedex,2015-10-20
0,Boné,Roupas,186.78,37,6910.86,ES,Pix,Sedex,2014-02-12
0,Pregos,Ferramentas Manuais,25.93,31,803.83,MG,Crédito,Sedex,2012-07-28
0,Alho,Alimentos,7.42,32,237.44,ES,Débito,Sedex,2020-07-16
0,Perfume,Cosméticos,34.78,12,417.36,ES,Débito,PAC,2020-07-25
0,Ar-condicionado,Eletrodomésticos,2485.34,18,44736.12,PR,Débito,PAC,2013-09-04
0,Iluminador,Cosméticos,29.98,31,929.38,MG,Crédito,Sedex,2020-04-04
0,Torradeira,Eletrodomésticos,1356.43,10,13564.3,SP,Pix,Retirada,2013-03-09
0,Uva,Alimentos,3.22,32,103.04,PR,Crédito,PAC,2011-04-18
0,Fogão,Eletrodomésticos,967.01,23,22241.23,MS,Boleto,PAC,2016-08-07
0,Base,Cosméticos,56.52,48,2712.96,ES,Boleto,PAC,2011-07-24
0,Torradeira,Eletrodomésticos,1874.52,37,69357.24,PR,Crédito,PAC,2021-04-08
0,Enxada,Ferramentas Manuais,21.68,13,281.84,MG,Boleto,Sedex,2014-06-27
0,Pregos,Ferramentas Manuais,17.41,32,557.12,SP,Crédito,Sedex,2014-02-25
0,Desodorante,Cosméticos,26.06,25,651.5,ES,Débito,PAC,2014-06-12
0,Geladeira,Eletrodomésticos,2238.32,40,89532.8,PR,Débito,PAC,2017-01-19
0,Iluminador,Cosméticos,46.01,36,1656.36,ES,Boleto,Sedex,2014-12-20
0,Esquadro,Ferramentas Manuais,42.61,36,1533.96,ES,Pix,PAC,2015-12-01
0,Tesoura,Ferramentas Manuais,45.1,49,2209.9,PR,Boleto,PAC,2014-12-05
0,Geladeira,Eletrodomésticos,1114.38,3,3343.14,RJ,Boleto,Sedex,2013-07-26
0,Iluminador,Cosméticos,68.81,34,2339.54,MG,Débito,Retirada,2019-06-28
0,Micro-ondas,Eletrodomésticos,1537.42,14,21523.88,MG,Débito,PAC,2017-05-01
0,Micro-ondas,Eletrodomésticos,571.39,32,18284.48,PR,Crédito,Retirada,2014-04-23
0,Aspirador de pó,Eletrodomésticos,1165.72,28,32640.16,ES,Pix,PAC,2022-10-06
0,Gorro,Roupas,230.44,27,6221.88,SP,Débito,PAC,2019-08-20
0,Maçã,Alimentos,7.88,21,165.48,MG,Débito,Sedex,2014-11-11
0,Uva,Alimentos,8.56,28,239.68,MS,Boleto,Sedex,2010-07-31
0,Esmalte,Cosméticos,67.82,22,1492.04,SP,Pix,PAC,2018-12-16
0,Boné,Roupas,147.17,24,3532.08,MS,Pix,Sedex,2012-01-15
0,Enxada,Ferramentas Manuais,15.59,27,420.93,MG,Pix,Retirada,2016-08-01
0,Geleia,Alimentos,9.76,33,322.08,MS,Pix,Sedex,2018-05-06
0,Micro-ondas,Eletrodomésticos,2201.65,9,19814.85,PR,Crédito,Sedex,2013-06-22
0,Enxada,Ferramentas Manuais,22.3,15,334.5,RJ,Crédito,Sedex,2022-09-06
0,Grampo,Ferramentas Manuais,46.5,2,93.0,MG,Débito,Sedex,2010-07-21
0,Grampo,Ferramentas Manuais,23.52,40,940.8,MS,Débito,Retirada,2012-05-06
0,Iluminador,Cosméticos,33.52,33,1106.16,RJ,Débito,PAC,2013-07-23
0,Base,Cosméticos,64.58,4,258.32,PR,Crédito,Sedex,2022-07-25
0,Cebola,Alimentos,2.09,30,62.7,PR,Pix,Retirada,2020-09-25
0,Aspirador de pó,Eletrodomésticos,648.74,28,18164.72,MG,Boleto,Retirada,2010-03-05
0,Máquina de lavar roupa,Eletrodomésticos,923.4,18,16621.2,RJ,Pix,Retirada,2010-11-18
0,Banana,Alimentos,2.06,50,103.0,RJ,Pix,Sedex,2021-09-28
0,Vestido,Roupas,245.79,28,6882.12,ES,Pix,Sedex,2017-03-17
0,Tesoura,Ferramentas Manuais,38.42,10,384.2,ES,Débito,PAC,2016-08-28
0,Martelo,Ferramentas Manuais,16.95,39,661.05,MG,Boleto,PAC,2020-08-24
0,Perfume,Cosméticos,22.67,19,430.73,ES,Crédito,Sedex,2016-12-21
0,Nível,Ferramentas Manuais,45.29,7,317.03,RJ,Crédito,Sedex,2017-03-25
0,Martelo,Ferramentas Manuais,35.43,5,177.15,MS,Crédito,PAC,2015-05-13
0,Maçã,Alimentos,7.59,34,258.06,RJ,Crédito,Retirada,2011-09-01
0,Desodorante,Cosméticos,42.56,35,1489.6,PR,Crédito,Retirada,2012-01-04
0,Pregos,Ferramentas Manuais,26.44,21,555.24,MS,Crédito,Sedex,2017-02-26
0,Formão,Ferramentas Manuais,27.57,27,744.39,PR,Pix,PAC,2011-12-24
0,Chave estrela,Ferramentas Manuais,20.55,9,184.95,ES,Crédito,PAC,2022-02-27
0,Fogão,Eletrodomésticos,2554.19,4,10216.76,SP,Crédito,Retirada,2014-04-04
0,Shampoo,Cosméticos,53.97,3,161.91,RJ,Crédito,Retirada,2014-10-03
0,Tônico facial,Cosméticos,23.94,8,191.52,SP,Débito,Sedex,2010-01-19
0,Secadora de roupas,Eletrodomésticos,1981.22,19,37643.18,PR,Crédito,PAC,2013-01-19
